url,status_code,content_type,fetched,depth,methods,links_found,forms_found,interesting,reasons,route_types,sources,title,error
http://127.0.0.1:56147/.well-known/change-password,404,,true,,GET,0,0,true,password_reset_path,password_reset,request; well_known,,
http://127.0.0.1:56147/.well-known/oauth-authorization-server,404,,true,,GET,0,0,true,callback_path,callback,request; well_known,,
http://127.0.0.1:56147/admin/,,,false,,,0,0,true,admin_path,admin,excluded,,
http://127.0.0.1:56147/api/users,200,application/json; charset=utf-8,true,0,GET,0,0,true,api_path,api,crawler_discovered; crawler_fetched; crawler_page; metadata_discovered; request; sitemap,,
http://127.0.0.1:56147/login,200,text/html; charset=utf-8,true,0,GET,1,1,true,login_path; form_detected,form; login,crawler_discovered; crawler_fetched; crawler_page; metadata_discovered; request; sitemap,Login de laboratorio,
http://127.0.0.1:56147/login/,,,false,,POST,0,0,true,login_path; post_method,login; state_changing_candidate,form_action,,
http://127.0.0.1:56147/members/,401,text/html; charset=utf-8,true,0,GET; OPTIONS,1,1,true,login_path; account_area; form_detected,account; form; login,crawler_discovered; crawler_fetched; crawler_page; html_link; metadata_discovered; request; robots_allow; seed; sitemap; target,Miembros,
http://127.0.0.1:56147/oauth/authorize,,,false,,,0,0,true,login_path; callback_path,callback; login,crawler_discovered; metadata_discovered; well_known_endpoint,,
http://127.0.0.1:56147/oauth/token,,,false,,,0,0,true,callback_path,callback,crawler_discovered; metadata_discovered; well_known_endpoint,,
http://127.0.0.1:56147/private/,,,false,,,0,0,true,account_area,account,excluded,,
http://127.0.0.1:56147/private/report,,,false,,,0,0,true,account_area,account,excluded,,
http://127.0.0.1:56147/reset-password,200,text/html; charset=utf-8,true,0,GET,1,0,true,password_reset_path,password_reset,crawler_discovered; crawler_fetched; crawler_page; metadata_discovered; request; sitemap,Recuperacion,
http://127.0.0.1:56147/session,,,false,,POST,0,0,true,login_path; post_method,login; state_changing_candidate,form_action,,
http://127.0.0.1:56147/,200,text/html; charset=utf-8,true,0,GET,4,0,false,,,crawler_discovered; crawler_fetched; crawler_page; html_link; metadata_discovered; request; sitemap,AI Web Auditor Lab,
http://127.0.0.1:56147/.well-known/openid-configuration,200,,true,,GET,0,0,false,,,crawler_discovered; metadata_discovered; request; well_known,,
http://127.0.0.1:56147/.well-known/security.txt,200,,true,,GET,0,0,false,,,crawler_discovered; metadata_discovered; request; well_known,,
https://example.org/external,,,false,,,0,0,false,,,out_of_scope,,
http://127.0.0.1:56147/.well-known/apple-app-site-association,404,,true,,GET,0,0,false,,,request; well_known,,
http://127.0.0.1:56147/.well-known/assetlinks.json,404,,true,,GET,0,0,false,,,request; well_known,,
http://127.0.0.1:56147/.well-known/webfinger,404,,true,,GET,0,0,false,,,request; well_known,,
http://127.0.0.1:56147/robots.txt,200,,true,,GET,0,0,false,,,request,,
http://127.0.0.1:56147/security.txt,404,,true,,GET,0,0,false,,,request; well_known,,
http://127.0.0.1:56147/sitemap.xml,200,,true,,GET,0,0,false,,,request,,
